tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,data_partida2,predicao_xgb 14 79,predicao_rf 14 79,predicao_lr 14 79,predicao_xgb 28 65,predicao_rf 28 65,predicao_lr 28 65,predicao_xgb 42 51,predicao_rf 42 51,predicao_lr 42 51,predicao_xgb 56 37,predicao_rf 56 37,predicao_lr 56 37,predicao_xgb 70 23,predicao_lr 70 23,predicao_rf 70 23
1110,4,1568931900,1,4,19,2019-09-19 19:25:00,1346.124,1230.6340837994,984.9255117051216,1356.5189,1325.6232449250456,1152.983201245126,1403.0754,1292.1213352024374,1326.6264232325302,1363.6726,1305.0915715110898,1285.4454891578353,1349.2241,1275.5523328682348,1265.4402823066014
1351,4,1568932279,1,4,19,2019-09-19 19:31:19,1346.124,1230.6340837994,984.9092989110941,1356.5189,1325.6232449250456,1152.9772246738758,1403.0754,1292.1213352024374,1326.6312807249924,1363.6726,1305.0915715110898,1285.447760157289,1349.2241,1275.5542850555075,1265.4402823066014
1429,4,1568932926,1,4,19,2019-09-19 19:42:06,1346.124,1230.6340837994,984.8816216611449,1356.5189,1325.6232449250456,1152.9670219256004,1403.0754,1292.1213352024374,1326.6395730670083,1363.6726,1305.0915715110898,1285.4516370349847,1349.2241,1275.5576176812747,1265.4402823066014
1341,4,1568933311,1,4,19,2019-09-19 19:48:31,1346.124,1230.6340837994,984.8651522002037,1356.5189,1325.6232449250456,1152.9609507384484,1403.0754,1292.1213352024374,1326.6445074590883,1363.6726,1305.0915715110898,1285.4539439869368,1349.2241,1275.5596007738868,1265.4402823066014
1337,4,1568934277,1,4,20,2019-09-19 20:04:37,1173.3083,1146.7869674570122,1002.9452409456862,1149.6608,1127.2279570053324,1170.3386099959826,1209.6056,1163.5481602293878,1344.332706681358,1150.244,1120.9484157610825,1302.487014682949,1147.2626,1291.8983676469625,1187.2974724065543
1217,4,1568934704,1,4,20,2019-09-19 20:11:44,1173.3083,1146.7869674570122,1002.9269748162769,1149.6608,1127.2279570053324,1170.3318764975047,1209.6056,1163.5481602293878,1344.3381793707558,1150.244,1120.9484157610825,1302.489573302386,1147.2626,1291.900567076952,1187.2974724065543
978,4,1568935248,1,4,20,2019-09-19 20:20:48,1173.3083,1146.7869674570122,1002.9037036818481,1149.6608,1127.2279570053324,1170.3232979889071,1209.6056,1163.5481602293878,1344.3451516026835,1150.244,1120.9484157610825,1302.4928329955346,1147.2626,1291.9033691610593,1187.2974724065543
1214,4,1568935818,1,4,20,2019-09-19 20:30:18,1173.3083,1146.7869674570122,1002.879320324093,1149.6608,1127.2279570053324,1170.3143094780607,1209.6056,1163.5481602293878,1344.3524570662812,1150.244,1120.9484157610825,1302.4962484828393,1147.2626,1291.9063051683033,1187.2974724065543
1075,4,1568937051,1,4,20,2019-09-19 20:50:51,1173.3083,1146.7869674570122,1002.8265752712468,1149.6608,1127.2279570053324,1170.294865909862,1209.6056,1163.5481602293878,1344.3682599375425,1150.244,1120.9484157610825,1302.5036367211687,1147.2626,1291.9126562155552,1187.2974724065543
1151,4,1568937654,1,4,21,2019-09-19 21:00:54,1049.7406,1038.8401634422978,1020.9221923656442,1041.0302,1004.872856029253,1187.6782494295658,1129.8842,1104.0255153128282,1362.051806732994,1030.0403,1003.3219766544587,1319.5345322910543,1044.1339,1308.2495533155952,1027.0740130248475
941,4,1568938232,1,4,21,2019-09-19 21:10:32,1049.7406,1038.8401634422978,1020.8974667853181,1041.0302,1004.872856029253,1187.6691347641827,1129.8842,1104.0255153128282,1362.0592147294155,1030.0403,1003.3219766544587,1319.5379957150235,1044.1339,1308.2525305299578,1027.0740130248475
1220,4,1568939094,1,4,21,2019-09-19 21:24:54,1049.7406,1038.8401634422978,1020.8605923039286,1041.0302,1004.872856029253,1187.6555416126903,1129.8842,1104.0255153128282,1362.0702626410348,1030.0403,1003.3219766544587,1319.5431608905637,1044.1339,1308.2569705970554,1027.0740130248475
1108,4,1568939886,1,4,21,2019-09-19 21:38:06,1049.7406,1038.8401634422978,1020.8267122699908,1041.0302,1004.872856029253,1187.6430523134077,1129.8842,1104.0255153128282,1362.0804133904567,1030.0403,1003.3219766544587,1319.5479066202915,1044.1339,1308.261050101858,1027.0740130248475
1090,4,1568940289,1,4,21,2019-09-19 21:44:49,1049.7406,1038.8401634422978,1020.8094728082797,1041.0302,1004.872856029253,1187.6366972785472,1129.8842,1104.0255153128282,1362.0855784813903,1030.0403,1003.3219766544587,1319.5503214297387,1044.1339,1308.26312591049,1027.0740130248475
936,4,1568940906,1,4,21,2019-09-19 21:55:06,1049.7406,1038.8401634422978,1020.7830788929423,1041.0302,1004.872856029253,1187.6269676097872,1129.8842,1104.0255153128282,1362.0934863253206,1030.0403,1003.3219766544587,1319.5540185449445,1044.1339,1308.2663040095604,1027.0740130248475
950,4,1568941911,1,4,22,2019-09-19 22:11:51,1046.5249,1032.3671412505635,1038.861499303428,1007.89886,979.4101322988885,1205.004011863948,1104.4683,1060.141567732964,1379.782185395099,1001.24005,984.5060238714116,1336.5873229321915,1016.2111,1324.605271767342,1000.970141695741
997,4,1568942386,1,4,22,2019-09-19 22:19:46,1046.5249,1032.3671412505635,1038.8411798386223,1007.89886,979.4101322988885,1204.9965214382428,1104.4683,1060.141567732964,1379.7882732814323,1001.24005,984.5060238714116,1336.5901691716135,1016.2111,1324.6077184400447,1000.970141695741
1096,4,1568943340,1,4,22,2019-09-19 22:35:40,1046.5249,1032.3671412505635,1038.8003697977401,1007.89886,979.4101322988885,1204.981477509562,1104.4683,1060.141567732964,1379.8005003205071,1001.24005,984.5060238714116,1336.5958856187863,1016.2111,1324.612632389012,1000.970141695741
1012,4,1568943850,1,4,22,2019-09-19 22:44:10,1046.5249,1032.3671412505635,1038.7785531092231,1007.89886,979.4101322988885,1204.97343515775,1104.4683,1060.141567732964,1379.8070367879372,1001.24005,984.5060238714116,1336.5989415811127,1016.2111,1324.6152593428642,1000.970141695741
1414,4,1568944550,1,4,22,2019-09-19 22:55:50,1046.5249,1032.3671412505635,1038.748608634778,1007.89886,979.4101322988885,1204.9623966356558,1104.4683,1060.141567732964,1379.8160084099036,1001.24005,984.5060238714116,1336.6031360392062,1016.2111,1324.6188649657952,1000.970141695741
1087,4,1568946050,1,4,23,2019-09-19 23:20:50,1038.0137,1015.519861432556,1056.8058540240454,973.2815,937.571246084166,1222.3316350777677,1071.7085,1023.6710615731463,1397.5110516980749,981.7141,982.197196995065,1353.6394065075365,991.80133,1340.9603824140786,978.615565167614
676,4,1568946858,1,4,23,2019-09-19 23:34:18,1038.0137,1015.519861432556,1056.7712895449658,973.2815,937.571246084166,1222.318893469408,1071.7085,1023.6710615731463,1397.5214075131407,981.7141,982.197196995065,1353.644248110595,991.80133,1340.964544333122,978.615565167614
1449,4,1568947807,1,4,23,2019-09-19 23:50:07,1038.0137,1015.519861432556,1056.7306933931832,973.2815,937.571246084166,1222.303928387315,1071.7085,1023.6710615731463,1397.5335704692043,981.7141,982.197196995065,1353.6499345973534,991.80133,1340.9694325276387,978.615565167614
