tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,predicao_xgb_1,predicao_lr_1,predicao_rf_1,predicao_xgb_2,predicao_lr_2,predicao_rf_2,predicao_xgb_3,predicao_lr_3,predicao_rf_3,predicao_xgb_4,predicao_lr_4,predicao_rf_4
1398,1,1568672201,1,4,19,1332.0,1263.0,1440.0,1315.0,1356.0413,1323.9674340010138,1291.9972681854438,1310.5144,1309.427849805338,1292.2100195775367,1345.5055,1347.5981381541853,1327.0915208732933,1365.4199,1348.318867983981,1330.2863628732764
1685,1,1568672170,1,4,19,1398.0,1332.0,1263.0,1440.0,1395.0648,1360.158403241313,1294.9645028162263,1401.7448,1356.144435266612,1331.1052970431924,1390.8644,1340.3182502207358,1347.5202698544188,1409.0127,1368.7253850861684,1397.0340711615697
1480,1,1568671449,1,4,19,1685.0,1398.0,1332.0,1263.0,1440.742,1517.5334482085013,1351.0943660723383,1435.3091,1479.256238352111,1383.234757566058,1472.2483,1449.1474261057776,1431.194894887037,1461.8579,1421.6824942809358,1447.5066256392497
1365,1,1568671259,1,4,19,1480.0,1685.0,1398.0,1332.0,1422.2031,1405.121695860783,1328.312175958472,1483.648,1505.5817097584038,1411.0041595891626,1513.1614,1482.2285430346471,1429.901047967788,1481.5767,1458.8984663135147,1444.0117887286565
1486,1,1568670397,1,4,18,1365.0,1480.0,1685.0,1398.0,1383.841,1333.7682552516317,1324.3540294565894,1398.8647,1388.4803229226943,1367.0522690817136,1419.2671,1462.1440440902477,1362.767801202912,1423.6423,1450.9073607775244,1398.3051110962401
1256,1,1568669488,1,4,18,1486.0,1365.0,1480.0,1685.0,1422.2031,1400.1171495953877,1327.548431343068,1429.2766,1391.5434172767493,1364.0373600071857,1444.2294,1416.8177364893825,1368.7346061470805,1441.0299,1473.3973950240202,1408.0921227137444
1564,1,1568669194,1,4,18,1256.0,1486.0,1365.0,1480.0,1354.4651,1273.9965316285925,1320.0558513802218,1384.1793,1352.3454545804682,1357.2420862553345,1407.0062,1358.877395152858,1372.6357502273495,1421.4769,1387.3735525492316,1421.6474671687556
1455,1,1568668681,1,4,18,1564.0,1256.0,1486.0,1365.0,1422.2031,1442.887195853271,1335.156825766993,1367.3735,1381.594400634898,1349.8866719275413,1389.6162,1411.6603919095166,1374.573162947653,1402.6049,1408.0142426540865,1381.2143378201572
1431,1,1568668084,1,4,18,1455.0,1564.0,1256.0,1486.0,1397.9901,1383.1163369127926,1318.3034560243366,1453.861,1448.7317873547443,1400.6753889863362,1420.4272,1405.1835433146382,1383.9185409284935,1436.0061,1427.3545668953889,1428.4851430671065
1294,1,1568667516,1,3,17,1431.0,1455.0,1564.0,1256.0,1397.9901,1361.663046501048,1318.324535005116,1417.4402,1396.3383305267569,1369.5779224766645,1428.2023,1438.1512886322237,1361.302263916831,1412.5188,1404.3461434855526,1379.063399484723
