data_partida,tempo_viagem,partidaTimeStamp,dia_semana,tipo_dia,hora_dia,turno_dia,qtdDiasAno,Precipitacao,Temperatura,Chuva,Calor,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,tempo_viagem_5
2019-07-01 18:55:00,2400,1562007300,1,1,18,4,182,0.0,23.05,0,1,1680.0,2760.0,1320.0,2640.0,1500.0
2019-07-01 19:01:00,2460,1562007660,1,1,19,4,182,0.0,23.05,0,1,2400.0,1680.0,2760.0,1320.0,2640.0
2019-07-01 19:07:00,1020,1562008020,1,1,19,4,182,0.0,23.05,0,1,2460.0,2400.0,1680.0,2760.0,1320.0
2019-07-01 19:11:00,2400,1562008260,1,1,19,4,182,0.0,23.05,0,1,1020.0,2460.0,2400.0,1680.0,2760.0
2019-07-01 19:15:00,1200,1562008500,1,1,19,4,182,0.0,23.05,0,1,2400.0,1020.0,2460.0,2400.0,1680.0
2019-07-01 19:17:00,2580,1562008620,1,1,19,4,182,0.0,23.05,0,1,1200.0,2400.0,1020.0,2460.0,2400.0
2019-07-01 19:19:00,1380,1562008740,1,1,19,4,182,0.0,23.05,0,1,2580.0,1200.0,2400.0,1020.0,2460.0
2019-07-01 19:28:00,960,1562009280,1,1,19,4,182,0.0,23.05,0,1,1380.0,2580.0,1200.0,2400.0,1020.0
2019-07-01 19:32:00,2400,1562009520,1,1,19,4,182,0.0,22.1,0,1,960.0,1380.0,2580.0,1200.0,2400.0
2019-07-01 19:33:00,1080,1562009580,1,1,19,4,182,0.0,22.1,0,1,2400.0,960.0,1380.0,2580.0,1200.0
2019-07-01 19:38:00,1500,1562009880,1,1,19,4,182,0.0,22.1,0,1,1080.0,2400.0,960.0,1380.0,2580.0
2019-07-01 19:41:00,1920,1562010060,1,1,19,4,182,0.0,22.1,0,1,1500.0,1080.0,2400.0,960.0,1380.0
2019-07-01 19:45:00,1980,1562010300,1,1,19,4,182,0.0,22.1,0,1,1920.0,1500.0,1080.0,2400.0,960.0
2019-07-01 19:50:00,1980,1562010600,1,1,19,4,182,0.0,22.1,0,1,1980.0,1920.0,1500.0,1080.0,2400.0
2019-07-01 19:58:00,2100,1562011080,1,1,19,4,182,0.0,22.1,0,1,1980.0,1980.0,1920.0,1500.0,1080.0
2019-07-01 20:00:00,1800,1562011200,1,1,20,4,182,0.0,22.1,0,1,2100.0,1980.0,1980.0,1920.0,1500.0
2019-07-01 20:02:00,1260,1562011320,1,1,20,4,182,0.0,22.1,0,1,1800.0,2100.0,1980.0,1980.0,1920.0
